Number	Run	Condition	Day	Formal Condition1	Experiment	Formal Condition2	GEO_Accession	operation	Sample Name	single_cell_or_bulk	Time	Series ID	Platform	Paired
1	SRR1852470	Sham-w1	7	Sham control	SRX906863	WT	GSM1626637	1W-WTSh	GSM1626637		1 week	GSE66630	GPL17021	2
2	SRR1852471	Sham-w1	7	Sham control	SRX906864	WT	GSM1626638	1W-WTSh	GSM1626638		1 week	GSE66630	GPL17021	2
3	SRR1852472	Sham-w1	7	Sham control	SRX906865	WT	GSM1626639	1W-WTSh	GSM1626639		1 week	GSE66630	GPL17021	2
4	SRR1852473	Sham-w1	7	Sham control	SRX906866	WT	GSM1626640	1W-WTSh	GSM1626640		1 week	GSE66630	GPL17021	2
5	SRR1852474	TAC-w1	7	trans-aortic constriction	SRX906867	WT	GSM1626641	1W-WTTAC	GSM1626641		1 week	GSE66630	GPL17021	2
6	SRR1852475	TAC-w1	7	trans-aortic constriction	SRX906868	WT	GSM1626642	1W-WTTAC	GSM1626642		1 week	GSE66630	GPL17021	2
7	SRR1852476	TAC-w1	7	trans-aortic constriction	SRX906869	WT	GSM1626643	1W-WTTAC	GSM1626643		1 week	GSE66630	GPL17021	2
8	SRR1852477	TAC-w1	7	trans-aortic constriction	SRX906870	WT	GSM1626644	1W-WTTAC	GSM1626644		1 week	GSE66630	GPL17021	2
1	SRR5276394	Sham-d0	7		SRX2580342		GSM2497001	Sham	GSM2497001	bulk sample (about 100 cells)		GSE95140	GPL17021	2
2	SRR5276439	Sham-d0	7		SRX2580387		GSM2497046	Sham	GSM2497046	bulk sample (about 100 cells)		GSE95140	GPL17021	2
3	SRR5276506	TAC-d3	7		SRX2580454		GSM2497113	TAC Day 3	GSM2497113	bulk sample (about 100 cells)		GSE95140	GPL17021	2
4	SRR5276510	TAC-d3	7		SRX2580458		GSM2497117	TAC Day 3	GSM2497117	bulk sample (about 100 cells)		GSE95140	GPL17021	2
5	SRR5276557	TAC-w1	7		SRX2580505		GSM2497164	TAC Week 1	GSM2497164	bulk sample (about 100 cells)		GSE95140	GPL17021	2
6	SRR5276595	TAC-w1	7		SRX2580543		GSM2497202	TAC Week 1	GSM2497202	bulk sample (about 100 cells)		GSE95140	GPL17021	2
1	SRR5876956	Sham-d2	7	SAMN07419960	SRX3044457		GSM2719993	"Mouse left ventricle, sham day 2."	GSM2719993			GSE101977	GPL19057	1
2	SRR5876957	Sham-d2	7	SAMN07419961	SRX3044458		GSM2719994	"Mouse left ventricle, sham day 2."	GSM2719994			GSE101977	GPL19057	1
3	SRR5876958	Sham-d2	7	SAMN07419963	SRX3044459		GSM2719995	"Mouse left ventricle, sham day 2."	GSM2719995			GSE101977	GPL19057	1
4	SRR5876959	TAC-d2	7	SAMN07419962	SRX3044460		GSM2719996	"Mouse left ventricle, TAC day 2."	GSM2719996			GSE101977	GPL19057	1
5	SRR5876960	TAC-d2	7	SAMN07419973	SRX3044461		GSM2719997	"Mouse left ventricle, TAC day 2."	GSM2719997			GSE101977	GPL19057	1
6	SRR5876961	TAC-d2	7	SAMN07419972	SRX3044462		GSM2719998	"Mouse left ventricle, TAC day 2."	GSM2719998			GSE101977	GPL19057	1
9	SRR1852478	other		Sham control	SRX906871	Ndufs4 knockout	GSM1626645	1W-KOSh	GSM1626645		1 week	GSE66630	GPL17021	
